speaker,utterance_id,source_wav_path,transcript_path,textgrid_path,annotation_path,source_frames,source_sample_rate_hz,source_duration_seconds,source_full_scale_sample_count,source_audio_pcm_sha256,processed_wav_path,processed_frames,processed_sample_rate_hz,processed_channels,processed_format,processed_subtype,processed_duration_seconds,duration_delta_seconds,processed_peak_abs,processed_out_of_unit_range_sample_count,processed_pcm_sha256,processed_file_sha256
ABA,arctic_a0012,speakers/ABA/wav/arctic_a0012.wav,speakers/ABA/transcript/arctic_a0012.txt,speakers/ABA/textgrid/arctic_a0012.TextGrid,,188894,44100,4.283310658,0,3f66a300b489100815b530cb461e13dfc2ea0f9ad1be9e74031631c811aa222d,speakers/ABA/wav/arctic_a0012.wav,68533,16000,1,WAV,FLOAT,4.2833125,1.842e-06,0.898666143,0,b04ba7672c8c359a609bf6ffee78cc8dba0a485cb89122cc68467f70a3fa2b08,96688e59a29180dab299936b72b864f9269ea92a4b9daebf3f7a8e8061c0923a
ABA,arctic_a0013,speakers/ABA/wav/arctic_a0013.wav,speakers/ABA/transcript/arctic_a0013.txt,speakers/ABA/textgrid/arctic_a0013.TextGrid,speakers/ABA/annotation/arctic_a0013.TextGrid,260738,44100,5.912426304,0,ea599f36269cc4b5ea306e2bc7354142fa986b2384fbf6a608af7514edf8cef8,speakers/ABA/wav/arctic_a0013.wav,94599,16000,1,WAV,FLOAT,5.9124375,1.1196e-05,0.815499783,0,0658e6f23e333cfbcdbe6b32f89999c01a9f81449a04ea2e8cac65c3ac577a50,7cba0dfff838f14867e771aa5a7eebe78cd35b1e2d92590775c9d0168002a384
ABA,arctic_a0014,speakers/ABA/wav/arctic_a0014.wav,speakers/ABA/transcript/arctic_a0014.txt,speakers/ABA/textgrid/arctic_a0014.TextGrid,,158432,44100,3.592562358,0,349b14785fbdd3d275bc91b8d5b69f5b3149f53774fa0d3d2761fb12ca71198b,speakers/ABA/wav/arctic_a0014.wav,57481,16000,1,WAV,FLOAT,3.5925625,1.42e-07,0.640358746,0,a19f3ceb0dc8d22d8ba194f75f0fdd172e1a619eb4cd129d999dd0d9e6208efe,7c94f6f346b80382acac310d639eeb06a8b095ce288290d768bbc9ae2daeb149
ABA,arctic_a0015,speakers/ABA/wav/arctic_a0015.wav,speakers/ABA/transcript/arctic_a0015.txt,speakers/ABA/textgrid/arctic_a0015.TextGrid,,105468,44100,2.391564626,0,98ce6c06a74aae0f8c07eebe2aff11d112ad9ad6f6a415907e79410b81b61982,speakers/ABA/wav/arctic_a0015.wav,38265,16000,1,WAV,FLOAT,2.3915625,-2.126e-06,0.720416009,0,125c8a60174d42326cee315d7836f7d300a9191c5defd331ea3024d7fd9da114,2e390edbde40086ffd6b37d144b6cad210a7a1e37e64b7586eea2d7adad28e96
ABA,arctic_a0016,speakers/ABA/wav/arctic_a0016.wav,speakers/ABA/transcript/arctic_a0016.txt,speakers/ABA/textgrid/arctic_a0016.TextGrid,,252194,44100,5.718684807,0,5f226e68d1eff86ea8c23f2be220587937cb60f9d45e9f0c4113bffc3136aedc,speakers/ABA/wav/arctic_a0016.wav,91499,16000,1,WAV,FLOAT,5.7186875,2.693e-06,0.541889489,0,d956f7d8d019a3768c8152bcf8b4f274109ff62c5db1b6038fa777b0bc750b1f,d215189df76252dfb2235517deb2fff3023e385e41cac4f27c13904837e785be
ABA,arctic_a0017,speakers/ABA/wav/arctic_a0017.wav,speakers/ABA/transcript/arctic_a0017.txt,speakers/ABA/textgrid/arctic_a0017.TextGrid,,230661,44100,5.230408163,0,572664c6e4f0c9d9aac597d73ab5c59549d818d35522beabd83774fb5218d402,speakers/ABA/wav/arctic_a0017.wav,83687,16000,1,WAV,FLOAT,5.2304375,2.9337e-05,0.564270914,0,f3742378edfd1b1732c9e3a0bb06b1346339ca3fe6fa685b5339a2b764564f27,9c55804f053f0e0e152e3921558c390bc16c63504fa2e708d7f7ecd0c624098a
ABA,arctic_a0018,speakers/ABA/wav/arctic_a0018.wav,speakers/ABA/transcript/arctic_a0018.txt,speakers/ABA/textgrid/arctic_a0018.TextGrid,speakers/ABA/annotation/arctic_a0018.TextGrid,61604,44100,1.3969161,0,7c88d586453cbb43a9b754149e9dbc4b1b10ccbab54e496f34cfc58a3b80e06a,speakers/ABA/wav/arctic_a0018.wav,22351,16000,1,WAV,FLOAT,1.3969375,2.14e-05,0.539555013,0,2f28d4533db54f41350466dac81c0cfeb214651e906b23a85f7f73da4cfa0960,f320cd59368c09243d9e6f5ec4bb720276fbf5af400fd8299f97a96d9cf8be13
ABA,arctic_a0019,speakers/ABA/wav/arctic_a0019.wav,speakers/ABA/transcript/arctic_a0019.txt,speakers/ABA/textgrid/arctic_a0019.TextGrid,speakers/ABA/annotation/arctic_a0019.TextGrid,233730,44100,5.3,0,03336fb27daf5e1b91c164b446fb5b2ebd23e4a21e762ca991322ac2bec96788,speakers/ABA/wav/arctic_a0019.wav,84800,16000,1,WAV,FLOAT,5.3,0.0,0.570030093,0,dc169b7ef41f55ad8b7bdbb9e84a3de7d01db736fc3ff83bd7c57c6b7208ca87,1c397414d36cd59c312ef4e2dc53752f37aeb446a7d339f1580e40b710178137
ABA,arctic_a0020,speakers/ABA/wav/arctic_a0020.wav,speakers/ABA/transcript/arctic_a0020.txt,speakers/ABA/textgrid/arctic_a0020.TextGrid,speakers/ABA/annotation/arctic_a0020.TextGrid,188859,44100,4.282517007,0,48a2ee667f9945f6e6ebea361b6f039c265ed839df569db00294beb7905cf0e2,speakers/ABA/wav/arctic_a0020.wav,68520,16000,1,WAV,FLOAT,4.2825,-1.7007e-05,0.470274627,0,4fc128f777d2dc2ccb38120c7365a6e4c8f2704c8c9358a04b58ab63973bc4fc,f69dfb5b4788018ab65fa118a495768cb946792cc550629aa2226637236978c4
ABA,arctic_a0021,speakers/ABA/wav/arctic_a0021.wav,speakers/ABA/transcript/arctic_a0021.txt,speakers/ABA/textgrid/arctic_a0021.TextGrid,speakers/ABA/annotation/arctic_a0021.TextGrid,168681,44100,3.824965986,0,3cee88bea41056ff37e5d9e848f19de0ee2e3143598b12c8e09d24b65db5537b,speakers/ABA/wav/arctic_a0021.wav,61199,16000,1,WAV,FLOAT,3.8249375,-2.8486e-05,0.603907943,0,02b1ee572d1ae2cd875c7f39ce35c3c97688bed4adde8d532110dc58cfe31a72,79ae67fe4a34ac2367eab43588ded813427b98dbcf72c8fbc141899d28c1d15d
ABA,arctic_a0022,speakers/ABA/wav/arctic_a0022.wav,speakers/ABA/transcript/arctic_a0022.txt,speakers/ABA/textgrid/arctic_a0022.TextGrid,speakers/ABA/annotation/arctic_a0022.TextGrid,315775,44100,7.160430839,0,bdab641b08ba8473b9a2acea9ca1cd5a33fa02c34afe14b0742d4a784ad67c58,speakers/ABA/wav/arctic_a0022.wav,114567,16000,1,WAV,FLOAT,7.1604375,6.661e-06,0.791484475,0,edb962f90f943aad27c41a6c5596e7fb2fa0871e8ca13a26d69176f73f2d3c8c,2752cf497d01bf4a362ad66a6f56317ab6f192632998a99a05b8dd01c442ac59
ABA,arctic_a0023,speakers/ABA/wav/arctic_a0023.wav,speakers/ABA/transcript/arctic_a0023.txt,speakers/ABA/textgrid/arctic_a0023.TextGrid,speakers/ABA/annotation/arctic_a0023.TextGrid,301466,44100,6.835963719,0,fbc982d9d546eeefda2547d0bde9a60c263bb29f4f3576e34b95c9cae9bfec73,speakers/ABA/wav/arctic_a0023.wav,109375,16000,1,WAV,FLOAT,6.8359375,-2.6219e-05,0.615241766,0,0b5e4721c288e62cd57925f098397451a01add1132f52ddc27cec2779761fda7,ebae44e50af711075ac4f150a5be911e973bfd34ee871aa6f4b9170407acbade
ABA,arctic_a0024,speakers/ABA/wav/arctic_a0024.wav,speakers/ABA/transcript/arctic_a0024.txt,speakers/ABA/textgrid/arctic_a0024.TextGrid,speakers/ABA/annotation/arctic_a0024.TextGrid,244314,44100,5.54,0,5f369e3a0f22852782ed18e400994ea353cc889c56299666017717a7447cc53a,speakers/ABA/wav/arctic_a0024.wav,88640,16000,1,WAV,FLOAT,5.54,0.0,0.605580509,0,5ce4473578eadfaa34de83f631df4edd7d22f7c2cb9b5ee9797e74804f27abba,7591bedd61cd54863e7aa8299c9b6c7bbbf1fc3f330001c2efd035cf2c111177
ABA,arctic_a0025,speakers/ABA/wav/arctic_a0025.wav,speakers/ABA/transcript/arctic_a0025.txt,speakers/ABA/textgrid/arctic_a0025.TextGrid,speakers/ABA/annotation/arctic_a0025.TextGrid,207270,44100,4.7,0,dd9e88cbf34f9cdcb8617c3a8f4752f5a73fb5d4f844e173d9793efbb2d67ec1,speakers/ABA/wav/arctic_a0025.wav,75200,16000,1,WAV,FLOAT,4.7,0.0,0.71694535,0,b0682e91cf35441d05b870d05a1957857005456a57a5ba29168a78f9e2383eda,59e3eb59c3f5ea816ddbcdd99d8c13cb9015fa37a98208c1f927f4582b706078
ABA,arctic_a0026,speakers/ABA/wav/arctic_a0026.wav,speakers/ABA/transcript/arctic_a0026.txt,speakers/ABA/textgrid/arctic_a0026.TextGrid,speakers/ABA/annotation/arctic_a0026.TextGrid,196793,44100,4.462426304,0,be26c9ed357b16e568f9311af44f930bb1ee8cdf5461b8f3d94c31da0446b2aa,speakers/ABA/wav/arctic_a0026.wav,71399,16000,1,WAV,FLOAT,4.4624375,1.1196e-05,0.744930506,0,ae9acca57082ec859ad2ac2efce40a8cef60bec77bb4e0b74987fe4bc02a7e79,ca8dd5c61a8c32c9b8492d1ffd8a77864bc931038f3859dbf3060520feddda4f
ABA,arctic_a0027,speakers/ABA/wav/arctic_a0027.wav,speakers/ABA/transcript/arctic_a0027.txt,speakers/ABA/textgrid/arctic_a0027.TextGrid,speakers/ABA/annotation/arctic_a0027.TextGrid,239600,44100,5.433106576,0,4e2a220ba400b9cb06f83dc85f9f2bad46e9de6541522114bbef1807b3485b1e,speakers/ABA/wav/arctic_a0027.wav,86930,16000,1,WAV,FLOAT,5.433125,1.8424e-05,0.881068468,0,a5c3a94da2bf6eca276cf8f218f43510401392300623147310d35a33f91fbaab,e063bd5f71c9d119605b77ea3ba810c9da02227cf5b74bbb40a5032be2ab908b
ABA,arctic_a0028,speakers/ABA/wav/arctic_a0028.wav,speakers/ABA/transcript/arctic_a0028.txt,speakers/ABA/textgrid/arctic_a0028.TextGrid,speakers/ABA/annotation/arctic_a0028.TextGrid,121490,44100,2.754875283,0,d775e1adda7c57a2a9d1cd5ba77f7fccbe2e3087224cba7e637a4cdf8a0c6abd,speakers/ABA/wav/arctic_a0028.wav,44078,16000,1,WAV,FLOAT,2.754875,-2.83e-07,0.896829426,0,3a8963791e0c3dc25a29c02a014ae8ee0e4e0ceb6790699ab0ab7149ac515750,72b4aa63ed592add475a50afca968b55d3e07549afa698f9d0ce9a4588bfdad0
ABA,arctic_a0029,speakers/ABA/wav/arctic_a0029.wav,speakers/ABA/transcript/arctic_a0029.txt,speakers/ABA/textgrid/arctic_a0029.TextGrid,speakers/ABA/annotation/arctic_a0029.TextGrid,183858,44100,4.169115646,0,85b3e3add355a4ab9b367852d3544ba48756b0e7e8f7f09253c25d986e241f8b,speakers/ABA/wav/arctic_a0029.wav,66706,16000,1,WAV,FLOAT,4.169125,9.354e-06,0.603980541,0,1a201f36f725c17363dc3c3b815e4e613b89498184668b598f217815fb065714,6b9d25a2ef6fd39f629fbea8cf4aa4099109d2db9ad0b44d48fd6e50e306ddfa
ABA,arctic_a0030,speakers/ABA/wav/arctic_a0030.wav,speakers/ABA/transcript/arctic_a0030.txt,speakers/ABA/textgrid/arctic_a0030.TextGrid,speakers/ABA/annotation/arctic_a0030.TextGrid,64971,44100,1.473265306,0,3fb71f5147a4e61cb4e1d4c0803555611e5a139e7781e59a4a27b09efc7b9dd3,speakers/ABA/wav/arctic_a0030.wav,23572,16000,1,WAV,FLOAT,1.47325,-1.5306e-05,0.640490592,0,f75589fc4539ac98501aaf31b4fcb1aa0403fab390b08e6c8868220ba318d5b6,eb46124deee8f1668cc7e526014694d640f3c9443552e37d0c5c047502af1947
ABA,arctic_a0031,speakers/ABA/wav/arctic_a0031.wav,speakers/ABA/transcript/arctic_a0031.txt,speakers/ABA/textgrid/arctic_a0031.TextGrid,speakers/ABA/annotation/arctic_a0031.TextGrid,143632,44100,3.256961451,0,a52892cc792d472603d6bb66e28f0eb116b9d57199f7911c8026dc7a0dc5e2ec,speakers/ABA/wav/arctic_a0031.wav,52111,16000,1,WAV,FLOAT,3.2569375,-2.3951e-05,0.558521509,0,6a0430361d140dfdcd5846c3e2828c017217ed63afb74cbac134e8e12594b418,2c363771d87dce864c978124e532e5709c13260cd22bbd21415846c249d9743c
ABA,arctic_a0032,speakers/ABA/wav/arctic_a0032.wav,speakers/ABA/transcript/arctic_a0032.txt,speakers/ABA/textgrid/arctic_a0032.TextGrid,speakers/ABA/annotation/arctic_a0032.TextGrid,278182,44100,6.307981859,0,1cf6b07c3b5eb052701a4c8efeb23063cfdced253296c4f0a5652cead392e0ee,speakers/ABA/wav/arctic_a0032.wav,100928,16000,1,WAV,FLOAT,6.308,1.8141e-05,0.569976807,0,25f7ccd6968d6cb69ecfd854b6809b2a08b79a477d2865838144120a61e96173,d45310372b5a8c14029c07b7c11bbe301a5642711bdcee4c2b08d86a9ddbed79
ABA,arctic_a0033,speakers/ABA/wav/arctic_a0033.wav,speakers/ABA/transcript/arctic_a0033.txt,speakers/ABA/textgrid/arctic_a0033.TextGrid,,270774,44100,6.14,0,f7ae0be5588d8cd9b19006820a6a6d6192cacbfbf536ee1414edda16159b715b,speakers/ABA/wav/arctic_a0033.wav,98240,16000,1,WAV,FLOAT,6.14,0.0,0.615899086,0,6e3bd0793cb5803785c681835298ed890d19d94399b63acbc0552c7403a091bf,b46738755cafa3031b8a650b6190349ca40b70592482be6e7e7fd36b194a200b
ABA,arctic_a0034,speakers/ABA/wav/arctic_a0034.wav,speakers/ABA/transcript/arctic_a0034.txt,speakers/ABA/textgrid/arctic_a0034.TextGrid,,206497,44100,4.682471655,0,3b288f0075f3757c11c019d4d35a121129e6a7d2277feb182211fa395fa1c4f3,speakers/ABA/wav/arctic_a0034.wav,74920,16000,1,WAV,FLOAT,4.6825,2.8345e-05,0.418598115,0,9b692cce09630561a2fe8637135d11f5d2730608862f675dcf6b4a529fa910c9,2f69c60f15d74c05c5bd28116e0b61b8ee1e199cd19d0fe3ce028df405501bd7
ABA,arctic_a0035,speakers/ABA/wav/arctic_a0035.wav,speakers/ABA/transcript/arctic_a0035.txt,speakers/ABA/textgrid/arctic_a0035.TextGrid,,246379,44100,5.586825397,0,279463e482f1351f64d5561a799d7761d92f3ad38e693a66e587329f7897c501,speakers/ABA/wav/arctic_a0035.wav,89389,16000,1,WAV,FLOAT,5.5868125,-1.2897e-05,0.570143878,0,0769354455009cb1c2f4b17a89d814428c7a9dace596ea87e2ffd8267d6c1d09,c4660764460778e01ebdc87a006be047ed693a685f9efe323271e72662e395a1
ABA,arctic_a0036,speakers/ABA/wav/arctic_a0036.wav,speakers/ABA/transcript/arctic_a0036.txt,speakers/ABA/textgrid/arctic_a0036.TextGrid,speakers/ABA/annotation/arctic_a0036.TextGrid,108958,44100,2.470702948,0,986e1af55cb34169ef25eaf3050f0b33acb619af069e7115a3a2544430752ade,speakers/ABA/wav/arctic_a0036.wav,39531,16000,1,WAV,FLOAT,2.4706875,-1.5448e-05,0.751244187,0,adae9e8d40ca54e074415f9e5fefc73420cdc06d10166e7521e0f17d5e0c23d4,f1bdc3f87e09df44ca2b89b49701f761dfcaba626e9640fd91864a73a6c7c3f8
ABA,arctic_a0037,speakers/ABA/wav/arctic_a0037.wav,speakers/ABA/transcript/arctic_a0037.txt,speakers/ABA/textgrid/arctic_a0037.TextGrid,speakers/ABA/annotation/arctic_a0037.TextGrid,124245,44100,2.817346939,0,0d61a54288f3e75c9d02a402d57422ad3b025ec6c11e7ed9f9f30b20efae36d1,speakers/ABA/wav/arctic_a0037.wav,45078,16000,1,WAV,FLOAT,2.817375,2.8061e-05,0.659149349,0,a13dc2dddfcd964ce791423044c95300ce1030ca24df78001a6ebe6f9bf2c7ef,45c11527a94b02942aca83176fd9d6a1ebdd7d59c7e7630cc2ec07fadb56fa18
ABA,arctic_a0038,speakers/ABA/wav/arctic_a0038.wav,speakers/ABA/transcript/arctic_a0038.txt,speakers/ABA/textgrid/arctic_a0038.TextGrid,speakers/ABA/annotation/arctic_a0038.TextGrid,105840,44100,2.4,0,bca13551de7abab2e82384f5c752b5554df41d8cb39a2c5d2643b4a23a7da146,speakers/ABA/wav/arctic_a0038.wav,38400,16000,1,WAV,FLOAT,2.4,0.0,0.68506062,0,4823d3374776a9633a6ddd48d2ab377ffafabce96abf88c3108d3de89dffe27e,b5f5fa14b527e0c54a06132740c096d84bd2e123b4264673731dfab62600b623
ABA,arctic_a0039,speakers/ABA/wav/arctic_a0039.wav,speakers/ABA/transcript/arctic_a0039.txt,speakers/ABA/textgrid/arctic_a0039.TextGrid,speakers/ABA/annotation/arctic_a0039.TextGrid,169872,44100,3.851972789,0,2ee3308070f0f63a9af5c850ad58aba0beec21f99bd33115a9053ad1be7348d6,speakers/ABA/wav/arctic_a0039.wav,61632,16000,1,WAV,FLOAT,3.852,2.7211e-05,0.541392446,0,e320cd093605fae84bb9de56df29bd4c4de475333c6a0f4f8ca6dc9106820e88,b3a2e98e6fd2d6dc28c3e0e719db33b0417ebdbd50c25c1cb15f5d203c0b7fc4
ABA,arctic_a0040,speakers/ABA/wav/arctic_a0040.wav,speakers/ABA/transcript/arctic_a0040.txt,speakers/ABA/textgrid/arctic_a0040.TextGrid,speakers/ABA/annotation/arctic_a0040.TextGrid,160083,44100,3.63,0,0898bc9b3d3da418d6cde835e699da2eda2164638e97c7c552d22b05b994650b,speakers/ABA/wav/arctic_a0040.wav,58080,16000,1,WAV,FLOAT,3.63,0.0,0.667805254,0,fbd02ccfac5a452e96695300a8d02c3442ab8bc394b12d22d6dfe28d5c8c85a2,b9a2e4418365c5ada034d33ebe4cd7bdbf1a8abddf121462875cf04fa6805d45
ABA,arctic_a0041,speakers/ABA/wav/arctic_a0041.wav,speakers/ABA/transcript/arctic_a0041.txt,speakers/ABA/textgrid/arctic_a0041.TextGrid,speakers/ABA/annotation/arctic_a0041.TextGrid,127008,44100,2.88,0,2ebcf3588b5384ae186bd744a004368b555f0713680d08b3e83a4f24b048b4fa,speakers/ABA/wav/arctic_a0041.wav,46080,16000,1,WAV,FLOAT,2.88,0.0,0.582700968,0,3b82a61bc427e61a2e10bf55416f876f77935be71968ba40335565465f8951ee,731a63c70fa90bc6e94e4e8b4a01b81901335c1042c91d419b21af6fc5abbd58
ABA,arctic_a0042,speakers/ABA/wav/arctic_a0042.wav,speakers/ABA/transcript/arctic_a0042.txt,speakers/ABA/textgrid/arctic_a0042.TextGrid,speakers/ABA/annotation/arctic_a0042.TextGrid,175779,44100,3.985918367,0,2546d99573becc71a0579acdbdffc7c3de63e88fdd2001d1faab3bb508516709,speakers/ABA/wav/arctic_a0042.wav,63775,16000,1,WAV,FLOAT,3.9859375,1.9133e-05,0.579522192,0,b11020303e3d4cfb211cf26bb16fa3e701b1cff52286b724d235dab21d951d04,d0a22f44f4fd8459bce0caf4f89d5e079af5ccb3926b04ad69e3aa0399f7cd69
ABA,arctic_a0043,speakers/ABA/wav/arctic_a0043.wav,speakers/ABA/transcript/arctic_a0043.txt,speakers/ABA/textgrid/arctic_a0043.TextGrid,,279594,44100,6.34,0,9093fc97baccc705f20e06c7e4fcb1da46c50c7d311f696cb60b384e084af1c2,speakers/ABA/wav/arctic_a0043.wav,101440,16000,1,WAV,FLOAT,6.34,0.0,0.504438698,0,d74aaaf3706399b2a1ea0e3377ec00d8251cb4e75d60024ed0bed0e557ac7099,b59f9ca9087e1239eb715e3b66f317f1bbb30097fe6a3edf556ce2dde5dcdae8
ABA,arctic_a0044,speakers/ABA/wav/arctic_a0044.wav,speakers/ABA/transcript/arctic_a0044.txt,speakers/ABA/textgrid/arctic_a0044.TextGrid,,198953,44100,4.511405896,0,434741141817786e8f158590d3db353d47dbbc090051987fbe9358a4f8b5b6f1,speakers/ABA/wav/arctic_a0044.wav,72182,16000,1,WAV,FLOAT,4.511375,-3.0896e-05,0.655407906,0,0d6e1f9cbf87aa1d33c3a5317974920a18cb694f862f363830704fe33f643b8f,4a7283d25105520d82d6e29d44bc9988584502ed9a397af22c80accb2d6c3d2f
